position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
35|1580|JOHN MARS|23.6|0.0|Food and Beverage |candy, pet food|82|Unknown|https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
36|6317|JOSEPH SAFRA|23.5|0.0|Finance and Investments |banking|79|Male|https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
37|1045|GIOVANNI FERRERO|23.0|0.0|Food and Beverage |Nutella, chocolates|53|Unknown|https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
38|1547|DIETRICH MATESCHITZ|23.0|0.0|Food and Beverage |Red Bull|74|Unknown|https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832
39|3725|MICHAEL DELL|22.7|0.0|Technology |Dell computers|53|Male|https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907
40|5408|MASAYOSHI SON|22.7|0.0|Telecom |internet, telecom|60|Male|https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334
41|2626|SERGE DASSAULT|22.6||Diversified |diversified|93|Unknown|https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816
42|9028|STEFAN QUANDT|22.0|0.0|Automotive |BMW|52|Male|https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743
43|2658|YANG HUIYAN|21.9|0.0|Real Estate |real estate|36|Female|https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
44|5955|PAUL ALLEN|21.7|0.0|Technology |Microsoft, investments|65|Male|https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601
